Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Difficulties in stooling,Tired,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Tired,Frequent Infection,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Tired,Headache,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Frequent Infection,Rose spots,Confusion,Typhoid,Critical
"Yellow,green discharge",Fever,Swollen genitals,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Headache,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Headache,Rashes,Cough and breathing difficulties,Gonorrhea,Critical
Painful Urination,Tired,Abdominal Pain,Swollen testicles,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Swollen testicles,Confusion,Diabetes,Critical
Painful Urination,Hunger,Frequent Infection,Swollen testicles,Disorientation,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Fever,Blurred Vision,Rashes,Confusion,Diabetes,Critical
Difficulties in stooling,Tired,Frequent Infection,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Muscle Aches,Bloody diarrhea,NIL,Diabetes,Critical
Frequent Urination,Tired,Muscle Aches,Swollen testicles,Disorientation,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,Confusion,Gonorrhea,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Swollen genitals,NIL,Confusion,Diabetes,Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Tired,Swollen genitals,Rashes,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Swollen genitals,NIL,NIL,Typhoid,Not Critical
Painful Urination,Urge to urinate,Swollen genitals,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Swollen testicles,NIL,Diabetes,Critical
Painful Urination,Fever,Muscle Aches,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Hunger,Muscle Aches,Bloody diarrhea,Confusion,Typhoid,Critical
"Yellow,green discharge",Fever,Headache,Rose spots,Disorientation,Typhoid,Critical
Difficulties in stooling,Tired,Headache,Bloody diarrhea,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,Seizures,Gonorrhea,Critical
Difficulties in stooling,Hunger,Muscle Aches,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Headache,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Bloody diarrhea,Seizures,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,Rashes,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Fever,Abdominal Pain,Rashes,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Muscle Aches,Swollen testicles,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,Cough and breathing difficulties,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Fever,Muscle Aches,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Seizures,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Painful Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Tired,Swollen genitals,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Tired,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Rose spots,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Painful Urination,Hunger,Muscle Aches,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Fever,Frequent Infection,NIL,Seizures,Diabetes,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Urge to urinate,Swollen genitals,NIL,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rashes,Disorientation,Gonorrhea,Critical
Frequent Urination,Tired,Muscle Aches,NIL,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Tired,Muscle Aches,NIL,Confusion,Typhoid,Critical
Painful Urination,Fever,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Hunger,Swollen genitals,Swollen testicles,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Hunger,Swollen genitals,Rashes,NIL,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Fever,Abdominal Pain,Rashes,Seizures,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Headache,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Abdominal Pain,Rashes,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Abdominal Pain,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Tired,Anal Itching and Pain,Rashes,Disorientation,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,Disorientation,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Fever,Swollen genitals,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Swollen testicles,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Bloody diarrhea,Seizures,Gonorrhea,Critical
Frequent Urination,Fever,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rose spots,NIL,Gonorrhea,Critical
Frequent Urination,Tired,Muscle Aches,Bloody diarrhea,Confusion,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Frequent Infection,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Frequent Urination,Hunger,Blurred Vision,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,NIL,Disorientation,Diabetes,Critical
"Yellow,green discharge",Fever,Swollen genitals,Rashes,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Hunger,Blurred Vision,NIL,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Painful Urination,Fever,Muscle Aches,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Frequent Infection,NIL,Confusion,Typhoid,Critical
Painful Urination,Fever,Frequent Infection,Rashes,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
Painful Urination,Hunger,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Blurred Vision,Swollen testicles,Seizures,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,Rashes,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Abdominal Pain,Rashes,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Fever,Headache,Rose spots,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Tired,Headache,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Fever,Frequent Infection,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Headache,NIL,Confusion,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Tired,Frequent Infection,Rashes,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Hunger,Blurred Vision,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Blurred Vision,Bloody diarrhea,Seizures,Typhoid,Critical
Painful Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Rashes,Seizures,Typhoid,Critical
Frequent Urination,Fever,Frequent Infection,NIL,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Muscle Aches,Swollen testicles,Seizures,Typhoid,Critical
Painful Urination,Fever,Abdominal Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Headache,Rose spots,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Hunger,Abdominal Pain,Rose spots,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Headache,Rashes,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Tired,Frequent Infection,NIL,Confusion,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Hunger,Swollen genitals,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Diabetes,Critical
Frequent Urination,Tired,Swollen genitals,NIL,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Rashes,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Headache,Rose spots,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Urge to urinate,Blurred Vision,Swollen testicles,Seizures,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Hunger,Muscle Aches,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Hunger,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Swollen testicles,Confusion,Gonorrhea,Critical
Painful Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,Rashes,Confusion,Typhoid,Critical
Difficulties in stooling,Fever,Swollen genitals,Bloody diarrhea,Seizures,Typhoid,Critical
"Yellow,green discharge",Hunger,Headache,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rashes,NIL,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rashes,Confusion,Gonorrhea,Critical
Frequent Urination,Fever,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Hunger,Headache,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Rose spots,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Headache,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Frequent Infection,Rashes,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Swollen genitals,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Muscle Aches,Rashes,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Blurred Vision,Rose spots,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Frequent Infection,NIL,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Rose spots,Seizures,Diabetes,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Swollen testicles,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Swollen testicles,Confusion,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Tired,Abdominal Pain,NIL,Seizures,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,NIL,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Tired,Blurred Vision,Swollen testicles,Disorientation,Typhoid,Critical
Painful Urination,Tired,Muscle Aches,Rose spots,NIL,Typhoid,Critical
Painful Urination,Hunger,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rashes,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Fever,Muscle Aches,Rose spots,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Tired,Muscle Aches,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Frequent Infection,Rashes,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Rashes,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Fever,Headache,Bloody diarrhea,NIL,Diabetes,Critical
Painful Urination,Hunger,Headache,Bloody diarrhea,Seizures,Typhoid,Critical
Frequent Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Hunger,Muscle Aches,Rashes,NIL,Typhoid,Critical
Frequent Urination,Hunger,Headache,Bloody diarrhea,Seizures,Diabetes,Critical
Difficulties in stooling,Hunger,Blurred Vision,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Painful Urination,Tired,Muscle Aches,Rashes,Disorientation,Typhoid,Critical
Painful Urination,Urge to urinate,Muscle Aches,Rose spots,Confusion,Gonorrhea,Critical
Painful Urination,Hunger,Blurred Vision,Rashes,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Headache,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,NIL,Confusion,Diabetes,Critical
Frequent Urination,Tired,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Swollen testicles,Confusion,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Frequent Infection,Rashes,Disorientation,Typhoid,Critical
Difficulties in stooling,Tired,Blurred Vision,Rashes,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Hunger,Muscle Aches,NIL,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Tired,Swollen genitals,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Hunger,Muscle Aches,Swollen testicles,Confusion,Diabetes,Critical
"Yellow,green discharge",Tired,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Muscle Aches,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Hunger,Blurred Vision,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Tired,Headache,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Tired,Muscle Aches,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Frequent Urination,Tired,Swollen genitals,Rose spots,Disorientation,Diabetes,Critical
Frequent Urination,Tired,Headache,NIL,Seizures,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Swollen testicles,NIL,Gonorrhea,Critical
Painful Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Disorientation,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Swollen testicles,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Tired,Frequent Infection,Rashes,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,NIL,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Hunger,Frequent Infection,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Fever,Headache,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,Seizures,Diabetes,Critical
Frequent Urination,Hunger,Swollen genitals,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Hunger,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Frequent Infection,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Fever,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Hunger,Muscle Aches,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Rashes,Disorientation,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Hunger,Muscle Aches,Swollen testicles,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Tired,Swollen genitals,Bloody diarrhea,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Abdominal Pain,Rose spots,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rashes,NIL,Gonorrhea,Critical
Painful Urination,Fever,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Fever,Headache,Swollen testicles,NIL,Diabetes,Critical
"Yellow,green discharge",Fever,Frequent Infection,Rashes,Confusion,Typhoid,Critical
Painful Urination,Tired,Headache,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Muscle Aches,NIL,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Blurred Vision,NIL,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Tired,Frequent Infection,NIL,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Urge to urinate,Swollen genitals,NIL,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,Confusion,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Hunger,Blurred Vision,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Rose spots,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,NIL,Gonorrhea,Critical
Painful Urination,Tired,Muscle Aches,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Hunger,Headache,Rose spots,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Muscle Aches,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,NIL,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Headache,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
